Item name,Variations,Option set 1,Option 1,Option set 2,Option 2,Option set 3,Option 3,Option set 4,Option 4,Is variation visible? (Yes/No),Price,Cost price,Variable price? (Yes/No),Tax rate (%),On sale in Online Store?,Regular price (before sale),Set up different prices and VAT for takeaway,Takeaway price,Takeaway tax rate,Unit,Track inventory? (Yes/No),Quantity,Low stock threshold,SKU,Barcode,Modifiers,Description (Online Store and Invoices only),Category,Display item at Checkout? (Yes/No),Display colour in POS checkout,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Display item in Online Store? (Yes/No),SEO title (Online Store only),SEO description (Online Store only),Shipping weight [kg] (Online Store only),Display service in Bookings? (Yes/No),Duration [minutes] (Bookings only),Location [business/customer] (Bookings only),Item id (Do not change),Variant id (Do not change)
,Violeta Lavanda,Color,Violeta Lavanda,,,,,,,Yes,3500.00,,,,,,,,,,,0,0,V-LIM-027-Viol,,,,,,,https://images.sumup.com/img_333DV44BBM97ET6FVSYPTQKEQ4,,,,,,,,,,,,,,,c17ec082-3ea0-4214-955f-680cda0d11a2
,Blanco Sin colorantes,Color,Blanco Sin colorantes,,,,,,,Yes,3500.00,,,,,,,,,,,0,0,V-LIM-027-Blan,,,,,,,https://images.sumup.com/img_3FCXGYE8TH9S6VF3Y6CD07N94W,,,,,,,,,,,,,,,e9e7a28f-4e86-4f1d-853c-9718aff6e6aa
,Amarillo 4 en 1,Color,Amarillo 4 en 1,,,,,,,Yes,3500.00,,,,,,,,,,,0,0,V-LIM-027-Amar,,,,,,,https://images.sumup.com/img_2BQNQ8GG6V929VQNHJ12TX15YP,,,,,,,,,,,,,,,60677b93-0cd1-4019-a57b-ba7063968414
BRIK’S Lavaloza concentrado 1L,,,,,,,,,,Yes,1250.00,,No,19.00,No,,No,,,each.each,Yes,11,0,V-LIM-020,,,,Limpieza,Yes,Pink,https://images.sumup.com/img_7YWCA0RTJK8FF8WDC5B6Q8Z96N,,,,,,,Yes,BRIK’S Lavaloza concentrado 1L,,,No,,,135e62b9-5d13-4d43-9cd1-669ab7fe9261,2e3ebcfe-ca90-4b88-9722-1902ea2be60a
BRIK’S Suavizante 5L,,,,,,,,,,Yes,3900.00,,No,19.00,No,,No,,,each.each,Yes,2,0,V-LIM-028,,,,Limpieza,Yes,Pink,https://images.sumup.com/img_65DSF4W8AA9H2BQMQN9HJM6CQ8,,,,,,,Yes,BRIK’S Suavizante 5L,,,No,,,9e8c12ac-0e1e-41c0-961f-c0b0112e9931,4b034fae-63fe-4f2a-8917-1b21ee8bc01b
Billeteras Varon Surtidas,,,,,,,,,,Yes,4000.00,,No,19.00,No,,No,,,each.each,Yes,4,0,V-BOU-001,,,,Boutique,Yes,Light red,https://images.sumup.com/img_51QGM7VCBW8N79XXA3X294NMER,,,,,,,Yes,Billeteras Varon Surtidas,,,No,,,55aa8804-73c8-4071-8e7d-f192f32d2c6f,d8dc94d6-b40b-4c61-9c25-1c5f9cfb0344
COLGATE Cepillo Adulto cerda media,,,,,,,,,,Yes,500.00,,No,19.00,No,,No,,,each.each,Yes,11,0,V-CPE-003,,,,Cuidado Personal,Yes,Dark green,https://images.sumup.com/img_215XVS81BR8FZBFSK3K32693H4,,,,,,,Yes,COLGATE Cepillo Adulto cerda media,,,No,,,bd9ee15b-302a-4fcd-9aab-def5ffdc088c,662a924c-6235-4609-91b6-5006caff63fe
COLGATE Dentrifico Triple accion Menta 75ml,,,,,,,,,,Yes,1250.00,,No,19.00,No,,No,,,each.each,Yes,12,0,V-CPE-002,,,,Cuidado Personal,Yes,Dark green,,,,,,,,Yes,COLGATE Dentrifico Triple accion Menta 75ml,,,No,,,e148073e-971c-41a1-bf74-4759a1117053,ac1ebc03-6e9a-4dee-97a1-bd410e6175e9
COLUN Leche Origen Chocolate 220 ml,,,,,,,,,,Yes,600.00,,No,19.00,No,,No,,,each.each,Yes,0,0,V-COL-001,,,,Colaciones,Yes,Light blue,https://images.sumup.com/img_39Z5KGBDB38GQSVVREMRZPGK1M,,,,,,,Yes,COLUN Leche Origen Chocolate 220 ml,,,No,,,508c4d28-8877-4437-9ddb-72a2ae3536da,fd5eadf5-2a8d-4851-8a5e-e1e46f511317
CONFORT Papel Higiénico Doble Hoja Ultra 4 x 50 mt,,,,,,,,,,Yes,2400.00,,No,19.00,No,,No,,,each.each,Yes,0,0,V-LIM-025,,,,Limpieza,Yes,Pink,https://images.sumup.com/img_0J1HYM58Y18TB8NH09Q5PDBS1R,,,,,,,Yes,CONFORT Papel Higiénico Doble Hoja Ultra 4 x 50 mt,,,No,,,c5eb3407-d4a9-4b61-8de8-d4f1532efd83,efbc3767-28a7-4cda-bad5-4f2bcc2c7539
DOVE Desodorante Variedades 45g,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Cuidado Personal,Yes,Dark green,https://images.sumup.com/img_711C6G34B094HS42FC9MJXYXMF,https://images.sumup.com/img_05D61HMD4J83JS9FCYZZ7082QH,https://images.sumup.com/img_0YRXMARCCY9CRTB0PWQPVTAHVN,,,,,Yes,DOVE Desodorante Variedades 45g,,,No,,,9c52ef68-5006-4d3c-9804-631d28a09da3,
,Dama Aclarante,,,,,,,,,Yes,2800.00,,,,,,,,,,,0,0,V-CPE-001-MAcl,,,,,,,https://images.sumup.com/img_0N47BMFWA9915B3E4J1TMNK4CR,,,,,,,,,,,,,,,7e38127e-a442-4349-8097-cc391050a77d
,Dama Original,,,,,,,,,Yes,2800.00,,,,,,,,,,,0,0,V-CPE-001-MOri,,,,,,,https://images.sumup.com/img_75WV0MA34C8WSAVZH8PTCRNK16,,,,,,,,,,,,,,,d0a8c99c-178e-4984-8fc7-54fd0112b0f6
,Dama Tono Uniforme,,,,,,,,,Yes,2800.00,,,,,,,,,,,0,0,V-CPE-001-MTUn,,,,,,,,,,,,,,,,,,,,,,a4d1bcaf-c6e2-425d-a0e3-e9ab881db592
,Varon Cremoso Confort Protection,,,,,,,,,Yes,2800.00,,,,,,,,,,,0,0,V-CPE-001-HCre,,,,,,,https://images.sumup.com/img_78P2ATTX5D90WTV0X3WDV1QJF4,,,,,,,,,,,,,,,c84ac189-b64c-437a-b606-c8f8b13557f5
,Varon Cremoso Energy Boost,,,,,,,,,Yes,2800.00,,,,,,,,,,,0,0,V-CPE-001-HEnB,,,,,,,,,,,,,,,,,,,,,,84fd420a-05df-4f6b-b813-fbe096ec678e
DOVE Jabon de Tocador 75g,,,,,,,,,,Yes,1100.00,,No,19.00,No,,No,,,each.each,Yes,1,0,V-CPE-004,,,,Cuidado Personal,Yes,Dark green,https://images.sumup.com/img_4M3VBN4A3C85Q9KAYJ670HFGE4,,,,,,,Yes,DOVE Jabon de Tocador 75g,,,No,,,bbda8f16-0c25-4f65-b54c-c800bc69e7a0,dd4ef4db-578c-4db0-831e-e203372847da
ELITE Papel Higiénico Doble Hoja Ultra 4 x 50 mt,,,,,,,,,,Yes,2650.00,,No,19.00,No,,No,,,each.each,Yes,4,0,V-LIM-003,,,,Limpieza,Yes,Pink,https://images.sumup.com/img_5722GH6FW68YDSPQPNJ0FASFA2,,,,,,,Yes,ELITE Papel Higiénico Doble Hoja Ultra 4 x 50 mt,,,No,,,81a9a074-b9a9-40d9-9c39-012d9144411f,45cb42f9-02e8-4716-8385-a2866f6e0889
ELITE Pañuelos Triple Hoja 10 Un,,,,,,,,,,Yes,200.00,,No,19.00,No,,No,,,each.each,Yes,14,0,V-CPE-007,,,,Cuidado Personal,Yes,Dark green,,,,,,,,Yes,ELITE Pañuelos Triple Hoja 10 Un,,,No,,,42886924-3807-462f-ab4e-4946201f02b7,141c9ec5-fb75-4c3c-830a-2a0c5cf846f9
EMUBABY Toallitas Húmedas Sin Alcohol 100 Un,,,,,,,,,,Yes,1100.00,,No,19.00,No,,No,,,each.each,Yes,11,0,V-BEB-002,,,,Bebe,Yes,Light red,https://images.sumup.com/img_45MK77Y4BF9M8TRC95RR7HFYDN,,,,,,,Yes,EMUBABY Toallitas Húmedas Sin Alcohol 100 Un,,,No,,,ed87fa22-ff95-4a35-a400-ff24662a95b2,bb3ecf77-d303-4093-8fbd-054424b43863
ETO Lapiz pasta punta gruesa,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Libreria,Yes,Orange,,,,,,,,Yes,ETO Lapiz pasta punta gruesa,,,No,,,51f340cc-5c5e-493c-b523-50c56ef96c5a,
