Item name,Variations,Option set 1,Option 1,Option set 2,Option 2,Option set 3,Option 3,Option set 4,Option 4,Is variation visible? (Yes/No),Price,Cost price,Variable price? (Yes/No),Tax rate (%),On sale in Online Store?,Regular price (before sale),Set up different prices and VAT for takeaway,Takeaway price,Takeaway tax rate,Unit,Track inventory? (Yes/No),Quantity,Low stock threshold,SKU,Barcode,Modifiers,Description (Online Store and Invoices only),Category,Display item at Checkout? (Yes/No),Display colour in POS checkout,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Display item in Online Store? (Yes/No),SEO title (Online Store only),SEO description (Online Store only),Shipping weight [kg] (Online Store only),Display service in Bookings? (Yes/No),Duration [minutes] (Bookings only),Location [business/customer] (Bookings only),Item id (Do not change),Variant id (Do not change)
OFFICE TREND Destacadores Pastel Variedades,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Libreria,Yes,Orange,,,,,,,,Yes,OFFICE TREND Destacadores Pastel Variedades,,,,,,,
,Amarillo Pastel,,,,,,,,,Yes,500,,,,,,,,,,Yes,3,,V-LIB-005-Amar,,,,,,,,,,,,,,,,,,,,,,
,Durazno Pastel,,,,,,,,,Yes,500,,,,,,,,,,Yes,2,,V-LIB-005-Dura,,,,,,,,,,,,,,,,,,,,,,
,Morado Pastel,,,,,,,,,Yes,500,,,,,,,,,,Yes,2,,V-LIB-005-Mora,,,,,,,,,,,,,,,,,,,,,,
,Verde Pastel,,,,,,,,,Yes,500,,,,,,,,,,Yes,2,,V-LIB-005-Verd,,,,,,,,,,,,,,,,,,,,,,
OMSO Plumon Pizarra Variedades,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Libreria,Yes,Orange,,,,,,,,Yes,OMSO Plumon Pizarra Variedades,,,,,,,
,Azul,,,,,,,,,Yes,300,,,,,,,,,,Yes,12,,V-LIB-008-Azul,,,,,,,,,,,,,,,,,,,,,,
,Negro,,,,,,,,,Yes,300,,,,,,,,,,Yes,9,,V-LIB-008-Negr,,,,,,,,,,,,,,,,,,,,,,
,Rojo,,,,,,,,,Yes,300,,,,,,,,,,Yes,12,,V-LIB-008-Rojo,,,,,,,,,,,,,,,,,,,,,,
PAPERONE Resma 500 hojas Carta,,,,,,,,,,,4400,,No,19.00,No,,No,,,each.each,Yes,0,,V-LIB-007,,,,Libreria,Yes,Orange,,,,,,,,Yes,PAPERONE Resma 500 hojas Carta,,,,,,,
PROARTE Cola fria 125 ml,,,,,,,,,,,1000,,No,19.00,No,,No,,,each.each,Yes,12,,V-LIB-019,,,,Libreria,Yes,Orange,,,,,,,,Yes,PROARTE Cola fria 125 ml,,,,,,,
"TORRE Cuaderno Tapa Blanda, Mat 7mm DBZ",,,,,,,,,,,2000,,No,19.00,No,,No,,,each.each,Yes,8,,V-LIB-006,,,,Libreria,Yes,Orange,,,,,,,,Yes,"TORRE Cuaderno Tapa Blanda, Mat 7mm DBZ",,,,,,,
V-STORE Compas Escolar,,,,,,,,,,,800,,No,19.00,No,,No,,,each.each,Yes,5,,V-LIB-018,,,,Libreria,Yes,Orange,,,,,,,,Yes,V-STORE Compas Escolar,,,,,,,
V-STORE Cuaderno College Mat 7 mm 70 hojas,,,,,,,,,,,800,,No,19.00,No,,No,,,each.each,Yes,12,,V-LIB-016,,,,Libreria,Yes,Orange,,,,,,,,Yes,V-STORE Cuaderno College Mat 7 mm 70 hojas,,,,,,,
V-STORE Ser 2 TIjeras Adulto,,,,,,,,,,,1500,,No,19.00,No,,No,,,each.each,Yes,1,,V-LIB-013,,,,Libreria,Yes,Orange,,,,,,,,Yes,V-STORE Ser 2 TIjeras Adulto,,,,,,,
V-STORE Tijeras Escolares Punta Roma,,,,,,,,,,,800,,No,19.00,No,,No,,,each.each,Yes,6,,V-LIB-017,,,,Libreria,Yes,Orange,,,,,,,,Yes,V-STORE Tijeras Escolares Punta Roma,,,,,,,
AILEDA Aromatizante Ambientador Spray 5 en 1 360 ml,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Limpieza,Yes,Pink,,,,,,,,Yes,AILEDA Aromatizante Ambientador Spray 5 en 1 360 ml,,,,,,,
,Coco Vainilla,,,,,,,,,Yes,1300,,,,,,,,,,Yes,3,,V-LIM-017-CoVa,,,,,,,,,,,,,,,,,,,,,,
,Lavanda,,,,,,,,,Yes,1300,,,,,,,,,,Yes,2,,V-LIM-017-Lava,,,,,,,,,,,,,,,,,,,,,,
,Limon,,,,,,,,,Yes,1300,,,,,,,,,,Yes,2,,V-LIM-017-Limo,,,,,,,,,,,,,,,,,,,,,,
,Mañana de campo,,,,,,,,,Yes,1300,,,,,,,,,,Yes,0,,V-LIM-017-MCam,,,,,,,,,,,,,,,,,,,,,,
,Naranja,,,,,,,,,Yes,1300,,,,,,,,,,Yes,2,,V-LIM-017-Nara,,,,,,,,,,,,,,,,,,,,,,
,Ocean Fresh,,,,,,,,,Yes,1300,,,,,,,,,,Yes,2,,V-LIM-017-OcFr,,,,,,,,,,,,,,,,,,,,,,
AILEDA Trapero Multiuso con ojal 12 hojas Variedades,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Limpieza,Yes,Pink,,,,,,,,Yes,AILEDA Trapero Multiuso con ojal 12 hojas Variedades,,,,,,,
,Coco,,,,,,,,,Yes,1850,,,,,,,,,,Yes,0,,V-LIM-030-Coco,,,,,,,,,,,,,,,,,,,,,,
,Lavanda,,,,,,,,,Yes,1850,,,,,,,,,,Yes,2,,V-LIM-030-Lava,,,,,,,,,,,,,,,,,,,,,,
AIMEISHANG Film plastico cocina 30 cm x 15 m,,,,,,,,,,,1000,,No,19.00,No,,No,,,each.each,Yes,0,,V-LIM-012,,,,Limpieza,Yes,Pink,,,,,,,,Yes,AIMEISHANG Film plastico cocina 30 cm x 15 m,,,,,,,
BIDS Servilleta Papel 24 x 24 cm 300 un,,,,,,,,,,,1050,,No,19.00,No,,No,,,each.each,Yes,14,,V-LIM-036,,,,Limpieza,Yes,Pink,,,,,,,,Yes,BIDS Servilleta Papel 24 x 24 cm 300 un,,,,,,,
BRIK’S Clorogel Citrus 900 ml,,,,,,,,,,,1200,,No,19.00,No,,No,,,each.each,Yes,3,,V-LIM-019,,,,Limpieza,Yes,Pink,,,,,,,,Yes,BRIK’S Clorogel Citrus 900 ml,,,,,,,
BRIK’S Lavaloza concentrado 1L,,,,,,,,,,,1250,,No,19.00,No,,No,,,each.each,Yes,11,,V-LIM-020,,,,Limpieza,Yes,Pink,,,,,,,,Yes,BRIK’S Lavaloza concentrado 1L,,,,,,,
BRIK’S Suavizante 5L,,,,,,,,,,,3900,,No,19.00,No,,No,,,each.each,Yes,2,,V-LIM-028,,,,Limpieza,Yes,Pink,,,,,,,,Yes,BRIK’S Suavizante 5L,,,,,,,
Brik's Detergente Variedades 5L,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Limpieza,Yes,Pink,,,,,,,,Yes,Brik's Detergente Variedades 5L,,,,,,,
,Amarillo 4 en 1,,,,,,,,,Yes,3500,,,,,,,,,,Yes,0,,V-LIM-027-Amar,,,,,,,,,,,,,,,,,,,,,,
,Blanco Sin colorantes,,,,,,,,,Yes,3500,,,,,,,,,,Yes,2,,V-LIM-027-Blan,,,,,,,,,,,,,,,,,,,,,,
,Celeste Desmanchador,,,,,,,,,Yes,3500,,,,,,,,,,Yes,0,,V-LIM-027-Cele,,,,,,,,,,,,,,,,,,,,,,
,Coral Delicado,,,,,,,,,Yes,3500,,,,,,,,,,Yes,2,,V-LIM-027-Cora,,,,,,,,,,,,,,,,,,,,,,
,Violeta Lavanda,,,,,,,,,Yes,3500,,,,,,,,,,Yes,0,,V-LIM-027-Viol,,,,,,,,,,,,,,,,,,,,,,
CONFORT Papel Higiénico Doble Hoja Ultra 4 x 50 mt,,,,,,,,,,,2400,,No,19.00,No,,No,,,each.each,Yes,0,,V-LIM-025,,,,Limpieza,Yes,Pink,,,,,,,,Yes,CONFORT Papel Higiénico Doble Hoja Ultra 4 x 50 mt,,,,,,,
ELITE Papel Higiénico Doble Hoja Ultra 4 x 50 mt,,,,,,,,,,,2650,,No,19.00,No,,No,,,each.each,Yes,4,,V-LIM-003,,,,Limpieza,Yes,Pink,,,,,,,,Yes,ELITE Papel Higiénico Doble Hoja Ultra 4 x 50 mt,,,,,,,
FLORAX Papel Higiénico Doble Hoja 4 x 50 mt,,,,,,,,,,,2300,,No,19.00,No,,No,,,each.each,Yes,6,,V-LIM-035,,,,Limpieza,Yes,Pink,,,,,,,,Yes,FLORAX Papel Higiénico Doble Hoja 4 x 50 mt,,,,,,,
HUANG JIAN Betún Líquido para Zapatos,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Limpieza,Yes,Pink,,,,,,,,Yes,HUANG JIAN Betún Líquido para Zapatos,,,,,,,
,Blanco,,,,,,,,,Yes,1000,,,,,,,,,,Yes,0,,V-LIM-008-Blan,,,,,,,,,,,,,,,,,,,,,,
,Negro,,,,,,,,,Yes,1000,,,,,,,,,,Yes,3,,V-LIM-008-Negr,,,,,,,,,,,,,,,,,,,,,,
IGENIX Cloro Gel Variedades Botella 900 ml,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Limpieza,Yes,Pink,,,,,,,,Yes,IGENIX Cloro Gel Variedades Botella 900 ml,,,,,,,
,Floral,,,,,,,,,Yes,1500,,,,,,,,,,Yes,4,,V-LIM-032-Flor,,,,,,,,,,,,,,,,,,,,,,
,Lavanda,,,,,,,,,Yes,1500,,,,,,,,,,Yes,0,,V-LIM-032-Lava,,,,,,,,,,,,,,,,,,,,,,
IGENIX Cloro liquido Tradicional 1L,,,,,,,,,,,1150,,No,19.00,No,,No,,,each.each,Yes,25,,V-LIM-038,,,,Limpieza,Yes,Pink,,,,,,,,Yes,IGENIX Cloro liquido Tradicional 1L,,,,,,,
IGENIX Desinfectante Aerosol Variedades Botella 900 ml,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Limpieza,Yes,Pink,,,,,,,,Yes,IGENIX Desinfectante Aerosol Variedades Botella 900 ml,,,,,,,
,Lavanda,,,,,,,,,Yes,2500,,,,,,,,,,Yes,3,,V-LIM-039-Lava,,,,,,,,,,,,,,,,,,,,,,
IO Acondicionador Variedades 1L,,,,,,,,,,,1200,,No,19.00,No,,No,,,each.each,Yes,11,,V-LIM-015,,,,Limpieza,Yes,Pink,,,,,,,,Yes,IO Acondicionador Variedades 1L,,,,,,,
IO Jabon Liquido Avena & Almendras 1L,,,,,,,,,,,1400,,No,19.00,No,,No,,,each.each,Yes,2,,V-LIM-016,,,,Limpieza,Yes,Pink,,,,,,,,Yes,IO Jabon Liquido Avena & Almendras 1L,,,,,,,
IO Shampoo Variedades 1L,,,,,,,,,,,1200,,No,19.00,No,,No,,,each.each,Yes,9,,V-LIM-014,,,,Limpieza,Yes,Pink,,,,,,,,Yes,IO Shampoo Variedades 1L,,,,,,,
LEZI Antigrasa gatillo 350ml,,,,,,,,,,,1000,,No,19.00,No,,No,,,each.each,Yes,0,,V-LIM-011,,,,Limpieza,Yes,Pink,,,,,,,,Yes,LEZI Antigrasa gatillo 350ml,,,,,,,
MANIAC Set 3 Esponjas Metalicas Doradas,,,,,,,,,,,1500,,No,19.00,No,,No,,,each.each,Yes,9,,V-LIM-033,,,,Limpieza,Yes,Pink,,,,,,,,Yes,MANIAC Set 3 Esponjas Metalicas Doradas,,,,,,,
NOE Limpiador en Crema,,,,,,,,,,,1450,,No,19.00,No,,No,,,each.each,Yes,5,,V-LIM-037,,,,Limpieza,Yes,Pink,,,,,,,,Yes,NOE Limpiador en Crema,,,,,,,
NOE Servilletas 23 x 22 cms 300 un,,,,,,,,,,,1050,,No,19.00,No,,No,,,each.each,Yes,1,,V-LIM-013,,,,Limpieza,Yes,Pink,,,,,,,,Yes,NOE Servilletas 23 x 22 cms 300 un,,,,,,,
OVELLA Toalla Papel XL una Hoja Ultra 80 mt,,,,,,,,,,,2000,,No,19.00,No,,No,,,each.each,Yes,10,,V-LIM-004,,,,Limpieza,Yes,Pink,,,,,,,,Yes,OVELLA Toalla Papel XL una Hoja Ultra 80 mt,,,,,,,
POPEYE Detergente en Barra 170 gms,,,,,,,,,,,1000,,No,19.00,No,,No,,,each.each,Yes,4,,V-LIM-018,,,,Limpieza,Yes,Pink,,,,,,,,Yes,POPEYE Detergente en Barra 170 gms,,,,,,,
SCOTT Papel Higiénico Doble Hoja Ultra 4 x 50 mt,,,,,,,,,,,2300,,No,19.00,No,,No,,,each.each,Yes,0,,V-LIM-024,,,,Limpieza,Yes,Pink,,,,,,,,Yes,SCOTT Papel Higiénico Doble Hoja Ultra 4 x 50 mt,,,,,,,
SOFT Suavizante Clasic refill 900 mL,,,,,,,,,,,1200,,No,19.00,No,,No,,,each.each,Yes,2,,V-LIM-034,,,,Limpieza,Yes,Pink,,,,,,,,Yes,SOFT Suavizante Clasic refill 900 mL,,,,,,,
Servilleta Papel Navideña,,,,,,,,,,,800,,No,19.00,No,,No,,,each.each,Yes,3,,V-LIM-006,,,,Limpieza,Yes,Pink,,,,,,,,Yes,Servilleta Papel Navideña,,,,,,,
