Item name,Variations,Option set 1,Option 1,Option set 2,Option 2,Option set 3,Option 3,Option set 4,Option 4,Is variation visible? (Yes/No),Price,Cost price,Variable price? (Yes/No),Tax rate (%),On sale in Online Store?,Regular price (before sale),Set up different prices and VAT for takeaway,Takeaway price,Takeaway tax rate,Unit,Track inventory? (Yes/No),Quantity,Low stock threshold,SKU,Barcode,Modifiers,Description (Online Store and Invoices only),Category,Display item at Checkout? (Yes/No),Display colour in POS checkout,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Display item in Online Store? (Yes/No),SEO title (Online Store only),SEO description (Online Store only),Shipping weight [kg] (Online Store only),Display service in Bookings? (Yes/No),Duration [minutes] (Bookings only),Location [business/customer] (Bookings only),Item id (Do not change),Variant id (Do not change)
,Negro,,,,,,,,,Yes,300,,,,,,,,,,Yes,9,,V-LIB-008-Negr,,,,,,,,,,,,,,,,,,,,,,43d78e76-48eb-49b5-a05e-da1c1071f2b9
,Rojo,,,,,,,,,Yes,300,,,,,,,,,,Yes,12,,V-LIB-008-Rojo,,,,,,,,,,,,,,,,,,,,,,0c5ea15b-929e-4b37-9ac2-f623fee9f421
PAPERONE Resma 500 hojas Carta,,,,,,,,,,,4400,,No,19.00,No,,No,,,each.each,Yes,0,,V-LIB-007,,,,Libreria,Yes,Orange,,,,,,,,Yes,PAPERONE Resma 500 hojas Carta,,,,,,22c626d1-2a89-43cb-9028-76786189d45e,
PROARTE Cola fria 125 ml,,,,,,,,,,,1000,,No,19.00,No,,No,,,each.each,Yes,12,,V-LIB-019,,,,Libreria,Yes,Orange,https://images.sumup.com/img_4DBEX3VND29XTRSEWKZQ93WE7Z,,,,,,,Yes,PROARTE Cola fria 125 ml,,,,,,a7f8b93d-16c1-4c25-a1c1-0475e86a742b,
"TORRE Cuaderno Tapa Blanda, Mat 7mm DBZ",,,,,,,,,,,2000,,No,19.00,No,,No,,,each.each,Yes,8,,V-LIB-006,,,,Libreria,Yes,Orange,,,,,,,,Yes,"TORRE Cuaderno Tapa Blanda, Mat 7mm DBZ",,,,,,75bebe04-e495-4457-9c62-f800f36d51ae,
V-STORE Compas Escolar,,,,,,,,,,,800,,No,19.00,No,,No,,,each.each,Yes,5,,V-LIB-018,,,,Libreria,Yes,Orange,https://images.sumup.com/img_5R71CGEF6T82A9D4N8JMNYQQSK,,,,,,,Yes,V-STORE Compas Escolar,,,,,,05324e87-8d57-43da-aee8-ab7630dc72fa,
V-STORE Cuaderno College Mat 7 mm 70 hojas,,,,,,,,,,,800,,No,19.00,No,,No,,,each.each,Yes,12,,V-LIB-016,,,,Libreria,Yes,Orange,https://images.sumup.com/img_3SF88FNA6M9N0BMYAKR79G6H9C,,,,,,,Yes,V-STORE Cuaderno College Mat 7 mm 70 hojas,,,,,,f7af8499-4dea-449c-8daa-6131914be74d,
V-STORE Ser 2 TIjeras Adulto,,,,,,,,,,,1500,,No,19.00,No,,No,,,each.each,Yes,1,,V-LIB-013,,,,Libreria,Yes,Orange,,,,,,,,Yes,V-STORE Ser 2 TIjeras Adulto,,,,,,d3f9bbbb-4cd4-4a33-b973-86380d14a634,
V-STORE Tijeras Escolares Punta Roma,,,,,,,,,,,800,,No,19.00,No,,No,,,each.each,Yes,6,,V-LIB-017,,,,Libreria,Yes,Orange,https://images.sumup.com/img_795TDFJA9Q8VDSP400GFSQ8XDE,,,,,,,Yes,V-STORE Tijeras Escolares Punta Roma,,,,,,85cae7a4-fb8c-45e4-83ce-7ca879ca6886,
AILEDA Aromatizante Ambientador Spray 5 en 1 360 ml,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Limpieza,Yes,Pink,https://images.sumup.com/img_76797T52YG8KZRFVM05T5S29RR,https://images.sumup.com/img_5FEV8QCQMX8R6V8J94RGNYBTNM,https://images.sumup.com/img_45X1GKZSP79DYTRBF52PCZDV35,https://images.sumup.com/img_04BXSEF0019GKV0N7TXDSVDS7G,,,,Yes,AILEDA Aromatizante Ambientador Spray 5 en 1 360 ml,,,,,,28113541-ee56-4ee5-883f-58b9bb5427fc,
,Coco Vainilla,,,,,,,,,Yes,1300,,,,,,,,,,Yes,3,,V-LIM-017-CoVa,,,,,,,https://images.sumup.com/img_7MTGAV7W3W8JGB7F9XQ1HAKG2T,,,,,,,,,,,,,,,7a2aac38-6a83-4451-ab8e-6a15020ca0e0
,Lavanda,,,,,,,,,Yes,1300,,,,,,,,,,Yes,2,,V-LIM-017-Lava,,,,,,,https://images.sumup.com/img_16A0Z1N1JT9YN85N0N1N4MM9VH,,,,,,,,,,,,,,,34d521e7-98c3-4ee1-ba60-4d1ea5f8d03c
,Limon,,,,,,,,,Yes,1300,,,,,,,,,,Yes,2,,V-LIM-017-Limo,,,,,,,https://images.sumup.com/img_183M0Q8SWM9K58TZ2AHSQA0WWV,,,,,,,,,,,,,,,ad4f2b6f-4420-4074-aa22-fd7bf8d6a606
,Mañana de campo,,,,,,,,,Yes,1300,,,,,,,,,,Yes,0,,V-LIM-017-MCam,,,,,,,https://images.sumup.com/img_2FM82ZVR269ZV9RHR3D8C23W6M,,,,,,,,,,,,,,,82b2ade2-fc6b-4b9b-bc40-829fac074e73
,Naranja,,,,,,,,,Yes,1300,,,,,,,,,,Yes,2,,V-LIM-017-Nara,,,,,,,,,,,,,,,,,,,,,,b51351d3-fc03-46be-84f9-bddc9e0b2730
,Ocean Fresh,,,,,,,,,Yes,1300,,,,,,,,,,Yes,2,,V-LIM-017-OcFr,,,,,,,,,,,,,,,,,,,,,,56db67a8-d98a-4141-a242-a51a8a0f77c1
AILEDA Trapero Multiuso con ojal 12 hojas Variedades,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Limpieza,Yes,Pink,https://images.sumup.com/img_7BW161D2D49ND9BWGG9NH8CPNB,,,,,,,Yes,AILEDA Trapero Multiuso con ojal 12 hojas Variedades,,,,,,3bed670d-2c12-4966-a71d-88eabd1838f9,
,Coco,,,,,,,,,Yes,1850,,,,,,,,,,Yes,0,,V-LIM-030-Coco,,,,,,,https://images.sumup.com/img_705JGN7R9W95BRNRAZYE4WCTYG,,,,,,,,,,,,,,,199d0e7d-67f4-4567-a00f-ff64283402d9
,Lavanda,,,,,,,,,Yes,1850,,,,,,,,,,Yes,2,,V-LIM-030-Lava,,,,,,,https://images.sumup.com/img_2M71ZK113Z919BA98M2EEQ4BE7,,,,,,,,,,,,,,,5ed675a8-7c9a-4c71-be00-37e92aa2beeb
AIMEISHANG Film plastico cocina 30 cm x 15 m,,,,,,,,,,,1000,,No,19.00,No,,No,,,each.each,Yes,0,,V-LIM-012,,,,Limpieza,Yes,Pink,,,,,,,,Yes,AIMEISHANG Film plastico cocina 30 cm x 15 m,,,,,,f12f3332-d5b4-4d54-9b43-15380ff2b0d3,
BIDS Servilleta Papel 24 x 24 cm 300 un,,,,,,,,,,,1050,,No,19.00,No,,No,,,each.each,Yes,14,,V-LIM-036,,,,Limpieza,Yes,Pink,,,,,,,,Yes,BIDS Servilleta Papel 24 x 24 cm 300 un,,,,,,94ee54b8-ae4e-4f08-b29d-c642a5570cb3,
BRIK’S Clorogel Citrus 900 ml,,,,,,,,,,,1200,,No,19.00,No,,No,,,each.each,Yes,3,,V-LIM-019,,,,Limpieza,Yes,Pink,https://images.sumup.com/img_5DV7ZXZ9YY9F6RMMA70A4DTBWS,,,,,,,Yes,BRIK’S Clorogel Citrus 900 ml,,,,,,967f82cc-5836-40ce-859a-ac8ef735cc7a,
